filename,psm,text
sample.png,6,Hi
sample1.png,6,hello
sample_preprocessed.png,6,Hi
text_000_styled.png,6,Deep PTL
text_001_blurry.png,6,
text_002_styled.png,6,Al MCU
text_003_blurry.png,6,Al POQ
text_004_clean.png,6,Data DFB
text_005_styled.png,6,Model YL
text_006_noisy.png,6,“Ne oe woe rn ae DE a ee tt ag er ae  avprls . Ta eee! oe Sar er stows
text_007_styled.png,6,Machine
text_008_blurry.png,6,Oceep 02)
text_009_clean.png,6,Data 8IG
text_010_blurry.png,6,Machine XH3
text_011_styled.png,6,Al 5A0
text_012_styled.png,6,Text 8TQ
text_013_styled.png,6,Neural 9!
text_014_noisy.png,6,
text_015_blurry.png,6,Neural XGN
text_016_clean.png,6,Deep IXA
text_017_blurry.png,6,Vision TVP
text_018_blurry.png,6,Tent 2°6
text_019_clean.png,6,Deep G3A
text_020_styled.png,6,Deep M6S
text_021_clean.png,6,Text WQP
text_022_styled.png,6,Neural EKO
text_023_blurry.png,6,
text_024_styled.png,6,Vision WI
text_025_noisy.png,6,Mision VGO..:
text_026_clean.png,6,Al XJ7
text_027_noisy.png,6,aay te gt ha gh
text_028_clean.png,6,Deep AGZ
text_029_clean.png,6,Model OGF
text_030_styled.png,6,Al 510
text_031_clean.png,6,Learning DT}
text_032_noisy.png,6,a i is “0 * A cNeural VOR: er oe ee hr
text_033_clean.png,6,Al OHD
text_034_blurry.png,6,Machine 2U8
text_035_noisy.png,6,ae ee Wiehe >. ue aes emN a Ts eM yO cere oa Po RT Co ee ee were PS i rr tac: “EZ at a Oates vk netges othe. uF ee ee ee re ee eet ata TF
text_036_noisy.png,6,"iar aD ye Re ee ee ey, ‘newt a Ys oon lel. ar PST Ba a Tey MONEY Maar ar oy! rttele Ue we . epee Tat ae ens y pie wy d eural Reb ale or ye wore ane he ne toe . ee are ae  Le oa ot Sa ae tah Tf we ee ate! qi bee Ras"
text_037_styled.png,6,Learning
text_038_styled.png,6,BLearning UF
text_039_styled.png,6,Machine
text_040_noisy.png,6,“Data 9OW-
text_041_styled.png,6,Learning GI
text_042_noisy.png,6,ete LT nt ee gee es : hore § ae ae eT UU ag! ten vee ae cae aa ve i Ue ES Tae gt re siege. nea _ 7 oe :
text_043_blurry.png,6,Text 1G8
text_044_clean.png,6,Al YOZ
text_045_blurry.png,6,Neural S6F
text_046_clean.png,6,Neural T7Z
text_047_clean.png,6,Python 138
text_048_clean.png,6,Al OOH
text_049_styled.png,6,Model NO
